"GeneID","Module"
"ENSG00000100083","blue"
"ENSG00000100092","turquoise"
"ENSG00000100097","green"
"ENSG00000100100","blue"
"ENSG00000100104","red"
"ENSG00000100105","blue"
"ENSG00000100138","turquoise"
"ENSG00000100201","blue"
"ENSG00000100207","turquoise"
"ENSG00000100216","blue"
"ENSG00000100219","blue"
"ENSG00000100220","blue"
"ENSG00000100225","red"
"ENSG00000100227","brown"
"ENSG00000100241","turquoise"
"ENSG00000100242","blue"
"ENSG00000100243","blue"
"ENSG00000100258","turquoise"
"ENSG00000100266","purple"
"ENSG00000100280","blue"
"ENSG00000100281","turquoise"
"ENSG00000100284","turquoise"
"ENSG00000100296","turquoise"
"ENSG00000100297","blue"
"ENSG00000100299","green"
"ENSG00000100300","black"
"ENSG00000100307","brown"
"ENSG00000100316","turquoise"
"ENSG00000100325","yellow"
"ENSG00000100330","turquoise"
"ENSG00000100335","pink"
"ENSG00000100342","purple"
"ENSG00000100345","turquoise"
"ENSG00000100347","pink"
"ENSG00000100348","turquoise"
"ENSG00000100351","red"
"ENSG00000100353","turquoise"
"ENSG00000100354","turquoise"
"ENSG00000100364","blue"
"ENSG00000100365","blue"
"ENSG00000100368","blue"
"ENSG00000100376","turquoise"
"ENSG00000100380","red"
"ENSG00000100385","brown"
"ENSG00000100387","blue"
"ENSG00000100393","black"
"ENSG00000100401","turquoise"
"ENSG00000100412","purple"
"ENSG00000100441","yellow"
"ENSG00000100445","brown"
"ENSG00000100450","turquoise"
"ENSG00000100453","black"
"ENSG00000100461","brown"
"ENSG00000100485","blue"
"ENSG00000100503","blue"
"ENSG00000100504","turquoise"
"ENSG00000100523","turquoise"
"ENSG00000100554","green"
"ENSG00000100558","pink"
"ENSG00000100568","red"
"ENSG00000100578","turquoise"
"ENSG00000100580","pink"
"ENSG00000100592","green"
"ENSG00000100596","greenyellow"
"ENSG00000100599","turquoise"
"ENSG00000100605","blue"
"ENSG00000100612","turquoise"
"ENSG00000100614","red"
"ENSG00000100644","green"
"ENSG00000100647","turquoise"
"ENSG00000100650","turquoise"
"ENSG00000100664","brown"
"ENSG00000100697","yellow"
"ENSG00000100721","blue"
"ENSG00000100731","turquoise"
"ENSG00000100784","brown"
"ENSG00000100796","blue"
"ENSG00000100811","blue"
"ENSG00000100813","turquoise"
"ENSG00000100815","turquoise"
"ENSG00000100883","brown"
"ENSG00000100888","turquoise"
"ENSG00000100890","green"
"ENSG00000100897","blue"
"ENSG00000100906","magenta"
"ENSG00000100911","blue"
"ENSG00000100941","turquoise"
"ENSG00000100985","turquoise"
"ENSG00000101040","black"
"ENSG00000101084","blue"
"ENSG00000101096","turquoise"
"ENSG00000101109","turquoise"
"ENSG00000101126","blue"
"ENSG00000101150","blue"
"ENSG00000101152","brown"
"ENSG00000101160","turquoise"
"ENSG00000101161","turquoise"
"ENSG00000101162","turquoise"
"ENSG00000101182","yellow"
"ENSG00000101191","magenta"
"ENSG00000101193","blue"
"ENSG00000101224","turquoise"
"ENSG00000101236","turquoise"
"ENSG00000101265","yellow"
"ENSG00000101266","pink"
"ENSG00000101290","brown"
"ENSG00000101294","magenta"
"ENSG00000101307","turquoise"
"ENSG00000101335","turquoise"
"ENSG00000101336","turquoise"
"ENSG00000101347","black"
"ENSG00000101361","turquoise"
"ENSG00000101365","green"
"ENSG00000101421","turquoise"
"ENSG00000101439","turquoise"
"ENSG00000101457","turquoise"
"ENSG00000101474","magenta"
"ENSG00000101557","turquoise"
"ENSG00000101558","blue"
"ENSG00000101577","turquoise"
"ENSG00000101596","blue"
"ENSG00000101608","black"
"ENSG00000101639","yellow"
"ENSG00000101654","yellow"
"ENSG00000101745","blue"
"ENSG00000101752","brown"
"ENSG00000101782","red"
"ENSG00000101849","turquoise"
"ENSG00000101882","green"
"ENSG00000101916","turquoise"
"ENSG00000101940","yellow"
"ENSG00000101966","blue"
